workflow_id	workflow_name	read_layout	workflow_total_duration	download_duration	processing_duration	instance_type	status	run_id	cpu	mem	cache	blkio
b240f96	kallisto	PAIRED	125.0	0	125.0	r5.4xlarge	success	SRR5185518	100.213947747973	3909419008	0	0
6edd6e5	salmon	SINGLE	67.0	0	67.0	r5.4xlarge	success	SRR5023408	1586.7472681574	4756688896	0	0
890dbf3	salmon	SINGLE	430.0	0	430.0	r5.4xlarge	success	SRR4250750	1.15410914535246	7661826048	3554578432	3554578432
3aef1e0	salmon	SINGLE	100.0	0	100.0	r5.4xlarge	success	ERR204893	1585.1899114	2002542592	1443106816	0
99468c7	kallisto	SINGLE	337.0	0	337.0	r5.4xlarge	success	ERR204893	1592.59932961395	3911639040	293568512	0
cd9dace	star-stringtie	PAIRED	232.0	2.357970921	229.642029079	r5.4xlarge	success	SRR5023408	164.314357540778	36517924864	1062498304	0
119c552	star-stringtie	PAIRED	478.0	4.47067441	473.52932559	r5.4xlarge	success	ERR204893	338.218934897068	38750785536	3429879808	0
838a266	star-stringtie	SINGLE	86.0	0.475341891	85.524658109	r5.4xlarge	success	SRR4250750	388.950083826306	6162214912	1700732928	1700687872
f9b7caa	star-stringtie	SINGLE	206.0	2.498577107	203.501422893	r5.4xlarge	success	SRR5023408	912.23039790393	35344699392	515440640	303284224
4d60fce	hisat2-stringtie	PAIRED	366.0	1.921919426	364.078080574	r5.4xlarge	success	SRR2932901	1593.37496604622	6698696704	1866432512	601108480
cea396d	hisat2-stringtie	SINGLE	225.0	1.917110896	223.082889104	r5.4xlarge	success	SRR4241930	1540.45133138211	6062788608	1243508736	0
27d5d2c	hisat2-stringtie	SINGLE	73.0	0.533240537	72.466759463	r5.4xlarge	success	SRR5168756	99.8744647191011	40480768	0	0
d388aef	tophat2-cufflinks	SINGLE	4922.0	2.253936759	4919.746063241	r5.4xlarge	success	SRR2932901	400.12233571965	16588107776	7155445760	12288
a9b0f1f	kallisto	PAIRED	65.0	0	65.0	r5.4xlarge	success	SRR5168756	0	3810742272	0	0
48af93c	star-cufflinks	PAIRED	181.0	0.929569664	180.070430336	r5.4xlarge	success	SRR4250750	1088.4334945066	2113167360	103288832	0
ffda173	star-cufflinks	PAIRED	1087.0	30.560596615	1056.439403385	r5.4xlarge	success	ERR204893	294.733863370786	39576330240	4114272256	2435928064
6ffd72e	star-cufflinks	PAIRED	186.0	1.808484122	184.191515878	r5.4xlarge	success	SRR5168756	1071.31055043587	2453037056	325677056	0
d8a5aa9	star-cufflinks	SINGLE	832.0	4.725006826	827.274993174	r5.4xlarge	success	SRR2567462	220.939472958802	39064944640	4239998976	1244123136
01b041f	hisat2-cufflinks	PAIRED	330.0	4.117628428	325.882371572	r5.4xlarge	success	SRR4241930	1549.2773494396	6118506496	1272336384	0
d917802	tophat2-cufflinks	PAIRED	905.0	0.426462034	904.573537966	r5.4xlarge	success	SRR4250750	1127.23648499688	7123480576	846188544	83922944
c21b4b3	tophat2-cufflinks	PAIRED	1228.0	0.681505342	1227.318494658	r5.4xlarge	success	SRR4428678	1178.31922984925	7076679680	811667456	126976
10b40ee	tophat2-cufflinks	PAIRED	3370.0	2.187929269	3367.812070731	r5.4xlarge	success	SRR5023408	1048.97339232979	13900181504	4516241408	4620288
ee5a505	tophat2-cufflinks	SINGLE	3400.0	6.22706453	3393.77293547	r5.4xlarge	success	ERR204893	1596.2429649531	24096485376	9089671168	35430400
f93c6ca	star-stringtie	PAIRED	81.0	0.718553354	80.281446646	r5.4xlarge	success	SRR4428678	204.0203245	34211606528	106086400	0
708e2ed	star-stringtie	SINGLE	392.0	8.717936152	383.282063848	r5.4xlarge	success	SRR2567462	0	37784031232	2955890688	2515484672
e48ee35	star-stringtie	SINGLE	449.0	6.165031517	442.834968483	r5.4xlarge	success	ERR204893	302.580348789969	38151172096	3322552320	4096
9fa8664	hisat2-stringtie	PAIRED	81.0	1.455174642	79.544825358	r5.4xlarge	success	SRR5168756	1513.6921039	5563555840	748220416	0
21cbf51	hisat2-stringtie	SINGLE	329.0	3.661267698	325.338732302	r5.4xlarge	success	SRR2932901	1599.47985419113	7298011136	2482053120	0
4d8215b	tophat2-cufflinks	SINGLE	819.0	0.860661448	818.139338552	r5.4xlarge	success	SRR4250750	100.0332724	11587805184	7370838016	6699638784
e73f942	salmon	PAIRED	19.0	0	19.0	r5.4xlarge	success	SRR4250750	595.755042401501	4681990144	24576	24576
acd045c	salmon	PAIRED	111.0	0	111.0	r5.4xlarge	success	ERR204893	1598.586181	4745699328	261423104	0
d90d05c	kallisto	SINGLE	221.0	0	221.0	r5.4xlarge	success	SRR4241930	100.335554778264	3902996480	0	0
f61f941	star-cufflinks	SINGLE	415.0	5.733886158	409.266113842	r5.4xlarge	success	SRR4241930	677.331424220413	36186275840	1358442496	4096
a1326ee	star-cufflinks	SINGLE	647.0	2.72876186	644.27123814	r5.4xlarge	success	SRR2932901	721.828473082707	36735471616	1889447936	1784549376
cba656f	hisat2-cufflinks	PAIRED	147.0	0.965334533	146.034665467	r5.4xlarge	success	SRR4428678	995.822445153991	2545811456	226258944	0
d7bdddd	hisat2-cufflinks	PAIRED	631.0	6.422252311	624.577747689	r5.4xlarge	success	SRR2567462	584.503289167188	10315034624	5437120512	0
47b4ab1	tophat2-cufflinks	PAIRED	919.0	1.6182625	917.3817375	r5.4xlarge	success	SRR4250750	1176.85968592221	5185064960	699752448	83922944
baea061	tophat2-cufflinks	PAIRED	3684.0	10.131005826	3673.868994174	r5.4xlarge	success	ERR204893	751.665008652038	25421787136	10870464512	37249024
c85e4bd	tophat2-cufflinks	PAIRED	882.0	2.151195195	879.848804805	r5.4xlarge	success	SRR5168756	1239.41986857498	9044078592	889843712	6504448
224759d	tophat2-cufflinks	SINGLE	4840.0	3.461260989	4836.538739011	r5.4xlarge	success	SRR2932901	1598.51798754221	16583602176	7358599168	12288
4a2ab39	tophat2-cufflinks	SINGLE	3433.0	6.981129587	3426.018870413	r5.4xlarge	success	ERR204893	1598.401194	24137805824	9151983616	35430400
98feede	star-cufflinks	PAIRED	875.0	6.907638943	868.092361057	r5.4xlarge	success	SRR2567462	0	40718647296	5267136512	2792333312
8ea901e	star-cufflinks	PAIRED	409.0	1.716571403	407.283428597	r5.4xlarge	success	SRR5023408	608.893341763224	36627542016	1174491136	29065216
ac0dfe7	star-cufflinks	PAIRED	394.0	3.070233999	390.929766001	r5.4xlarge	success	SRR5185518	99.8625939787633	36570296320	1113444352	0
64a637b	star-cufflinks	SINGLE	383.0	5.711038745	377.288961255	r5.4xlarge	success	SRR5023408	829.0917521	35624869888	797483008	207196160
4775b84	salmon	PAIRED	79.0	0	79.0	r5.4xlarge	success	SRR2932901	1592.85270864259	552194048	440926208	0
78b0064	salmon	PAIRED	59.0	0	59.0	r5.4xlarge	success	SRR4241930	858.705814371859	4726747136	0	0
cb9d948	salmon	PAIRED	23.0	0	23.0	r5.4xlarge	success	SRR5168756	0	0	0	0
d109fae	salmon	SINGLE	51.0	0	51.0	r5.4xlarge	success	SRR5185518	0	0	0	0
6b138c8	kallisto	SINGLE	65.0	0	65.0	r5.4xlarge	success	SRR4250750	99.8717323345818	6808793088	2865618944	2842861568
2322c61	hisat2-stringtie	PAIRED	80.0	0.486293307	79.513706693	r5.4xlarge	success	SRR5168756	99.8749716853932	37814272	36642816	0
7a91ffb	hisat2-stringtie	SINGLE	486.0	6.611936465	479.388063535	r5.4xlarge	success	SRR2567462	1590.14294611077	9380003840	4525883392	0
e378f63	hisat2-stringtie	SINGLE	65.0	0.376713853	64.623286147	r5.4xlarge	success	SRR4428678	1550.6276219	4920332288	152117248	0
566d04c	hisat2-stringtie	SINGLE	237.0	2.925841129	234.074158871	r5.4xlarge	success	SRR5023408	1522.9051121197	7574978560	2769211392	0
fc9d3e4	kallisto	PAIRED	216.0	0	216.0	r5.4xlarge	success	SRR4241930	0	3815198720	0	0
e7b0629	kallisto	SINGLE	220.0	0	220.0	r5.4xlarge	success	SRR4241930	99.9368996377264	3819257856	0	0
62e0018	kallisto	SINGLE	67.0	0	67.0	r5.4xlarge	success	SRR4428678	100.274239400749	3955822592	81920	0
3dde841	kallisto	SINGLE	214.0	0	214.0	r5.4xlarge	success	SRR2932901	100.061647029393	3823939584	0	0
8f2a81c	kallisto	SINGLE	299.0	0	299.0	r5.4xlarge	success	SRR5023408	1603.24094979362	3814244352	342970368	0
eeacf8b	star-stringtie	PAIRED	230.0	2.113878987	227.886121013	r5.4xlarge	success	SRR4241930	1592.8986683	36674387968	2030043136	0
cf5efdd	star-stringtie	PAIRED	447.0	5.54446179	441.45553821	r5.4xlarge	success	SRR2567462	0	38435487744	3116376064	468234240
359fd25	star-stringtie	PAIRED	319.0	2.100110128	316.899889872	r5.4xlarge	success	SRR2932901	0	37973667840	2511425536	0
